OBJECTID,FORMATION_ID,FORMATION_NAME,NO_STORE_UNITS,NO_DAUGHTER_UNITS,ASSESS_UNIT_TYPE,PERIOD_MIN,PERIOD_MAX,AGE_MIN,AGE_MAX,STRAT_GROUP,STRAT_FORMATION,LITHOLOGY,GEOGRAPHIC_AREA,GEOLOGICAL_BASIN,ON_OFFSHOR,SEAL,REP_THICK,REP_POR,REMARKS,STORE_CAP_FORM,STORE_CAP_HC_FIELDS,STORE_CAP_AQUIF,COUNTRY,COUNTRYCODE,LAMBERT_E,LAMBERT_N,X_DD,Y_DD,X,Y,Projection_Info,Date_Entered
14,AT_F_20120924170441760,Hauptdolomit_tyrolian nappe,1,2,Saline Aquifer with hydrocarbon fields,Triassic,Triassic,Carnian,Norian,,,,Lower Austria,Vienna Basin,Onshore,,0,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Austria,AT,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,625318.326318999990000,5355954.886090000200000,ETRS_1989_UTM_Zone_33N,24-009-12 17:04:41
15,AT_F_20120925142717238,Obereozänsande,1,0,,Paleogene,Paleogene,Priabonian,Lutetian,,,Sandstone,Upper Austria,"Molasse Basin
Vienna Basin
Styrian Basin
Intramountainuous Basins
Northern Calcareous Alps
Flysch- & Helvetic Nappes
Pannonian Basin",Onshore,,0,0.000000000000000,assessment-unit type not assured - possible dry sands without saline aquifer,0.000000000000000,0.000000000000000,0.000000000000000,Austria,AT,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,406415.643003000000000,5324265.960710000200000,ETRS_1989_UTM_Zone_33N,25-009-12 14:27:17
16,AT_F_20120925143950381,Cenomansande,1,0,Saline Aquifer with hydrocarbon fields,Paleogene,Cretaceous,Priabonian,Cenomanian,,,Sandstone,Upper Austria,"Molasse Basin
Vienna Basin
Styrian Basin
Intramountainuous Basins
Northern Calcareous Alps
Flysch- & Helvetic Nappes
Pannonian Basin",Onshore,,0,0.000000000000000,oil-water contact present but not saline aquifer,0.000000000000000,0.000000000000000,0.000000000000000,Austria,AT,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,429219.378032999990000,5317758.299929999700000,ETRS_1989_UTM_Zone_33N,25-009-12 14:39:50
17,AT_F_20120925152752701,dolomitische Quarzarenitserie,1,0,,Jurassic,Jurassic,Callovian,Aalenian,,,Sandstone,Upper Austria,Vienna Basin,Onshore,marl,0,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Austria,AT,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,596081.964935000050000,5354388.128030000300000,ETRS_1989_UTM_Zone_33N,25-009-12 15:27:52
18,AT_F_20121102160144734,Hauptdolomit_bajuvarian nappe,2,0,Saline Aquifer with hydrocarbon fields,Triassic,Triassic,Carnian,Norian,,,,Lower Austria,Vienna Basin,Onshore,,0,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Austria,AT,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,620521.446000000000000,5354639.781999999700000,ETRS_1989_UTM_Zone_33N,02-011-12 16:01:44
19,BE_F_20120921102046500,Buntsandstein FM,1,1,Saline Aquifer without hydrocarbon fields,Permian,Triassic,Changhsingian,Anisian,Germanic Trias Supergroup,Buntsandstein FM,Sandstone,Flanders,Roer Valley Graben,Onshore,thick sequence of Jurassic shales,200,0.000000000000000,limited information available. Buntsandstein FM can be found in both the Campine Basin as the Roer Valley Graben. Conditions in the Roer Valley Graben are beter (depth),18.693000000000001,0.000000000000000,18.693000000000001,Belgium,BE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,225000.000000000000000,205000.000000000000000,"Belgian datum 72, Lambert 1972",21-009-12 10:20:46
20,BE_F_20120921102921359,Neeroeteren FM,1,0,Saline Aquifer without hydrocarbon fields,Carboniferous,Carboniferous,Kasimovian,Moscovian,,Neeroeteren,Sandstone,Flanders,Roer Valley Graben,Onshore,Jurassic Shales,200,15.000000000000000,Limited information available; possible pressence in Roer Valley Graben at sufficient depth but no core information available in RVG (data used is interpolated from boreholes in Campine Basin at 600 m depth),34.490624999999994,0.000000000000000,34.490624999999994,Belgium,BE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,229000.000000000000000,209000.000000000000000,"Belgian datum 72, Lambert 1972",21-009-12 10:29:21
21,BE_F_20120924133657250,Houtem and Maastricht FM,1,0,Saline Aquifer without hydrocarbon fields,Paleogene,Cretaceous,Danian,Maastrichtian,,Houtem and Maastricht Formation,calcarenite,Flanders,Campine basin,Onshore,siliciclastic Tertiar sequence with a cyclic alteration of sands and clay rich formations + Tertiar shales,65,29.000000000000000,Limited information available; The formation goes over in the Roer Valley graben. The depth of both Formations is 60m and the estimated mean porosity 14.5%.. NOTE USER CALCULATED CAPACITIES are Practical Capcities,8.983203125000001,0.000000000000000,8.983203125000001,Belgium,BE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,198000.000000000000000,235000.000000000000000,"Belgian datum 72, Lambert 1972",24-009-12 13:36:57
22,BE_F_20120924135156406,Dinantian North FM,1,1,Saline Aquifer without hydrocarbon fields,Carboniferous,Carboniferous,Visean,Tournasian,The Carboniferous Limestone Group,"Loenhout, Velp, Kessel, Steentje-Turnhout, Vesder Formations",Carbonate,Flanders,Campine basin,Onshore,mudstones and silicified limestones,0,0.000000000000000,little data available,43.426349999999992,0.000000000000000,43.426349999999992,Belgium,BE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,174000.000000000000000,216000.000000000000000,"Belgian datum 72, Lambert 1972",24-009-12 13:51:56
23,BE_F_20121002151947640,Devonian North FM,1,0,Saline Aquifer without hydrocarbon fields,Devonian,Devonian,,,,,,Flanders,Campine basin,Onshore,,0,0.000000000000000,"no core data availeble, capacities calculated with Geo-techno-economic simulation (Welkenhuysen et al., submitted)",0.000000000000000,0.000000000000000,0.000000000000000,Belgium,BE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,190000.000000000000000,200000.000000000000000,"Belgian datum 72, Lambert 1972",02-010-12 15:19:47
24,BE_F_20121002154410859,Devonian South FM,1,0,Saline Aquifer without hydrocarbon fields,Devonian,Devonian,,,,,,Wallonia,Dinantian synclinorium,Onshore,,0,0.000000000000000,"No core data. Capacities based on Geo-techno-economic simulation (Welkenhuysen et al., submitted",0.000000000000000,0.000000000000000,0.000000000000000,Belgium,BE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,150000.000000000000000,90000.000000000000000,"Belgian datum 72, Lambert 1972",02-010-12 15:44:10
25,BE_F_20121002154511843,Dinantian South FM,1,0,Saline Aquifer without hydrocarbon fields,Carboniferous,Carboniferous,Visean,Tournasian,,,Carbonate,Wallonia,Namur parautochtonous,Onshore,thick Westphalian (Pennsylvanian) coal deposits,1500,5.000000000000000,great conflict with geothermal energy,121.499999999999990,0.000000000000000,121.499999999999990,Belgium,BE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,112000.000000000000000,127000.000000000000000,"Belgian datum 72, Lambert 1972",02-010-12 15:45:11
26,BG_F_20121113110644440,Middle Devonian carbonates,1,0,Saline Aquifer without hydrocarbon fields,Devonian,Devonian,Eifelian-Givetian,Eifelian-Givetian,Carbonate-Sulphate complex,Kardam Fm,carbonates-sulphates,North-eastern Bulgaria,Moesian basin,Onshore,Lower Carboniferous - Permian shale,800,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Bulgaria,BG,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,26.925599999999999,43.197699999999998,WGS 84,13-011-12 11:06:44
27,BG_F_20121113111630527,Lower Triassic clastics,1,0,Saline Aquifer with hydrocarbon fields,Triassic,Triassic,Induan,Induan,Lower Triassic Clastic  complex,Clastic red-colored complex,Sandstone,Central northern Bulgaria,Moesian basin,Onshore,Lower-Middle Triassic shale and marl,100,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Bulgaria,BG,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,24.940600000000000,43.464900000000000,WGS 84,13-011-12 11:16:30
28,BG_F_20121113111847261,Middle Jurassic clastics,1,0,Saline Aquifer without hydrocarbon fields,Jurassic,Jurassic,Bajocian,Bajocian,Middle Jurassic,Etropole Fm,Sandstone,North-eastern Bulgaria,Moesian basin,Onshore,Bathonian shale and marl,40,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Bulgaria,BG,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,26.226400000000002,43.347600000000000,WGS 84,13-011-12 11:18:47
29,BG_F_20121113111934576,Lower Cretaceous,2,0,Saline Aquifer without hydrocarbon fields,Cretaceous,Jurassic,Valanginian,Tithonian,Upper Jurassic - Valanginian carbonate complex,Kaspitchan Fm,Carbonate,Central northern Bulgaria,Moesian basin,Onshore,Hauterivian marl,800,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Bulgaria,BG,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25.157599999999999,43.358800000000002,WGS 84,13-011-12 11:19:34
30,BG_F_20121113112917939,Upper Cretaceous,2,0,Saline Aquifer without hydrocarbon fields,Cretaceous,Cretaceous,Cenomanian,Coniancian,Varshilo group,"Zelenkovska, Kukulyat & Dryanovska Fms",Clastics & Carbonates,South-eastern Bulgaria,Eastern Srednogorie basin,Onshore,marl & flysch,500,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Bulgaria,BG,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,26.724799999999998,42.487800000000000,WGS 84,13-011-12 11:29:17
31,BG_F_20121113112957329,Middle Eocene,2,0,Saline Aquifer without hydrocarbon fields,Paleogene,Paleogene,Lutetian,Bartonian,,Coal-Sandstone Fm,Clastics,Central southern Bulgaria,Upper Thracian basin,Onshore,Marl & Shale,400,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Bulgaria,BG,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25.327000000000002,42.199900000000000,WGS 84,13-011-12 11:29:57
32,BG_F_20121113113042054,Middle-Upper Eocene,1,0,Saline Aquifer with hydrocarbon fields,Paleogene,Paleogene,Lutetian,Bartonian,,Avren Fm,Sandstone & Siltstone,North-eastern Bulgaria,Kamchia basin,Both,Shale,600,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Bulgaria,BG,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,27.846440000000001,42.987439999999999,WGS 84,13-011-12 11:30:42
33,BG_F_20121113113802459,Upper Cretaceous - Middle Eocene,1,1,Saline Aquifer with hydrocarbon fields,Paleogene,Cretaceous,Lutetian,Campanian,,Avren Fm,Sandstone & Carbonate,North-eastern Bulgaria,Moesian basin,Offshore,clay limestone,18,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Bulgaria,BG,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,644641.912732000000000,5143843.538630000300000,LAMBERT CONFORMAL CONIC - Project Projection,13-011-12 11:38:02
34,CH_F_20120911151242576,Hauptrogenstein,1,0,Saline Aquifer without hydrocarbon fields,Jurassic,Jurassic,Bajocian,Bathonian,,Hauptrogenstein,oolitic limestone,Swiss Plateau,North Alpine Molasse Basin,Onshore,Effingen Member,100,8.000000000000000,"very limited knowledge of its aquifer properties, but it appears that the formation water is brackish (e.g. 2–4 g/L TDS)",267.008906250000050,0.000000000000000,267.008906250000050,Switzerland,CH,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7.409306731000000,47.067159169999996,WGS84,11-009-12 15:12:42
35,CH_F_20120912115738325,Trigonodus Dolomite,1,0,Saline Aquifer without hydrocarbon fields,Triassic,Triassic,Anisian,Ladinian,Muschelkalk,Trigonodus-Dolomit,dolomite,Swiss Plateau,North Alpine Molasse Basin,Onshore,Gipskeuper,65,9.000000000000000,"This reservoir has certainly also fracture porosity. The values for the Poro-Perm we used only considered plug porosity. So there is certainly an upside potential. Despite a high porosity of around 20%, the permeability is usually lower than 60 mD",551.780100000000060,0.000000000000000,551.780100000000060,Switzerland,CH,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7.987217726000000,47.296088519999998,WGS84,12-009-12 11:57:38
36,CH_F_20120912122014497,Upper Marine Molasse,1,0,Saline Aquifer without hydrocarbon fields,Neogene,Neogene,Burdigalian,Langhian,Molasse basin,Upper Marine Molasse,Sandstone,Swiss Plateau,North Alpine Molasse Basin,Onshore,Upper Freshwater Molasse,500,12.000000000000000,,39.902118750000000,0.000000000000000,39.902118750000000,Switzerland,CH,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9.130964441000000,47.404199349999999,WGS84,12-009-12 12:20:14
37,CH_F_20120928140939203,UpperMalm+Lower Cretaceous,1,0,Saline Aquifer without hydrocarbon fields,Jurassic,Cretaceous,Oxfordian,,Malm limestones,,limestones,Swiss Plateau,North Alpine Molasse Basin,Onshore,Lower Freshwater Molasse,200,0.000000000000000,This reservoir has certainly also fracture porosity. The values for the Poro-Perm we used only considered plug porosity. So there is certainly an upside potential,991.257750000000100,0.000000000000000,991.257750000000100,Switzerland,CH,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7.706434637000000,47.062838970000001,WGS84,28-009-12 14:09:39
38,CZ_F_20121002123525510,Neogene of Vienna Basin,1,2,Saline Aquifer with hydrocarbon fields,Neogene,Neogene,Messinian,Aquitanian,various,various,Sandstone,Czech Republic,Vienna Basin,Onshore,Neogene claystones,1500,0.000000000000000,,21.562708999999998,21.562708999999998,0.000000000000000,Czech Republic,CZ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-570857.000000000000000,-1200823.000000000000000,S-JTSK_Krovak_East_North,02-010-12 12:35:25
39,CZ_F_20121018133730541,Neogene of Carpathian Foredeep,1,4,Saline Aquifer with hydrocarbon fields,Neogene,Neogene,Tortonian,Aquitanian,various,various,Sandstone,Czech Republic,Carpathian Foredeep,Onshore,Neogene claystone,1000,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Czech Republic,CZ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-539391.000000000000000,-1145093.000000000000000,S-JTSK_Krovak_East_North,18-010-12 13:37:30
40,CZ_F_20121019100338402,Bohemian Permo-Carboniferous,4,0,Saline Aquifer without hydrocarbon fields,Permian,Carboniferous,Changhsingian,Bashkirian,,,,Czech Republic,Bohemian Late Palaezoic Basin,Onshore,,0,0.000000000000000,"Limnic basin, no representative values for thickness, porosity or seal can be provided",447.677014896000060,0.000000000000000,447.677014896000060,Czech Republic,CZ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-727791.000000000000000,-1009088.000000000000000,S-JTSK_Krovak_East_North,19-010-12 10:03:38
41,DE_F_20120926141820351,Upper Rotliegend,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,German North Sea,North German Basin,Offshore,,0,0.000000000000000,Polygon not available,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,26-009-12 14:18:20
42,DE_F_20120926144047198,Middle Buntsandstein,1,19,Saline Aquifer without hydrocarbon fields,,,,,,,,German North Sea,North German Basin,Offshore,,0,0.000000000000000,Polygon not available,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,26-009-12 14:40:47
43,DE_F_20120926163310973,Keuper,1,3,Saline Aquifer without hydrocarbon fields,,,,,,,,German North Sea,North German Basin,Offshore,,0,0.000000000000000,Polygon not available,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,26-009-12 16:33:10
44,DE_F_20120926164910997,Middle Jurassic,1,3,Saline Aquifer with hydrocarbon fields,,,,,,,,German North Sea,North German Basin,Offshore,,0,0.000000000000000,Polygon not available,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,26-009-12 16:49:10
45,DE_F_20120927081255310,Upper Rotliegend,1,10,Saline Aquifer with hydrocarbon fields,,,,,,,,North German Plain,North German Basin,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 08:12:55
46,DE_F_20120927101910147,Zechstein,1,21,Saline Aquifer with hydrocarbon fields,,,,,,,,North German Plain,North German Basin,Onshore,,0,0.000000000000000,Polygon not available,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 10:19:10
