EST_STORECAP_MIN,EST_STORECAP_MEAN,EST_STORECAP_MAX,CAP_EST_METHOD,STORE_CAP_MIN,STORE_CAP_MEAN,STORE_CAP_MAX,CAP_CAL_METHOD,TOTAL_STORE_CAP,STORE_CAP_HCDAUGHTER,EST_CAP_ENT_PRESS,OBJECTID,FORMATION_ID,STORAGE_UNIT_ID,STORAGE_UNIT_NAME,ASSESS_UNIT_TYPE,PERIOD_MIN,COUNTRY
0.0,95.64,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,99,ES_F_20121023122851984,ES_S_20121023130102317,Monegrillo,Saline Aquifer without hydrocarbon fields,,Spain
0.0,31.05,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,100,ES_F_20121023122851984,ES_S_20121023130520764,Lopin,Saline Aquifer without hydrocarbon fields,,Spain
0.0,198.45,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,101,ES_F_20121023132147228,ES_S_20121023133041819,Villameriel,Saline Aquifer without hydrocarbon fields,Cretaceous,Spain
0.0,139.97,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,102,ES_F_20121023132147228,ES_S_20121023133712929,Boñar,Saline Aquifer without hydrocarbon fields,Cretaceous,Spain
0.0,74.51999999999998,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,103,ES_F_20121023132147228,ES_S_20121023134059006,San Pedro,Saline Aquifer without hydrocarbon fields,Cretaceous,Spain
0.0,23.15,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,104,ES_F_20121023132147228,ES_S_20121023134516531,Montes Obanares,Saline Aquifer without hydrocarbon fields,Cretaceous,Spain
0.0,358.2,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,105,ES_F_20121023132147228,ES_S_20121023134837107,Iglesias,Saline Aquifer without hydrocarbon fields,Cretaceous,Spain
0.0,20.45,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,106,ES_F_20121023160316601,ES_S_20121023161630331,Baides 1A,Saline Aquifer without hydrocarbon fields,Triassic,Spain
0.0,32.08,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,107,ES_F_20121023160316601,ES_S_20121023162128941,Baides 1B,Saline Aquifer without hydrocarbon fields,Triassic,Spain
0.0,123.96,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,108,ES_F_20121023160316601,ES_S_20121023163920992,Tielmes 1,Saline Aquifer without hydrocarbon fields,Triassic,Spain
0.0,90.4,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,109,ES_F_20121023160316601,ES_S_20121023164400867,El Hito A,Saline Aquifer without hydrocarbon fields,Triassic,Spain
0.0,61.28,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,110,ES_F_20121023160316601,ES_S_20121023170219174,El Hito B,Saline Aquifer without hydrocarbon fields,Triassic,Spain
0.0,397.74,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,111,ES_F_20121023160316601,ES_S_20121023170600195,Altomira,Saline Aquifer without hydrocarbon fields,Triassic,Spain
0.0,51.65,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,112,ES_F_20121023160316601,ES_S_20121023170952617,Tribaldos,Saline Aquifer without hydrocarbon fields,Triassic,Spain
0.0,34.78,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,113,ES_F_20121023160316601,ES_S_20121023171317549,Burgo de Osma,Saline Aquifer without hydrocarbon fields,Triassic,Spain
0.0,6.98,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,114,ES_F_20121023160316601,ES_S_20121023171755473,La Ventosa,Saline Aquifer without hydrocarbon fields,Triassic,Spain
0.0,41.77,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,115,ES_F_20121023160316601,ES_S_20121023172217233,Obon-Oliete A,Saline Aquifer without hydrocarbon fields,Triassic,Spain
0.0,24.9,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,116,ES_F_20121023160316601,ES_S_20121023172743677,Obon-Oliete B,Saline Aquifer without hydrocarbon fields,Triassic,Spain
0.0,4.12,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,117,ES_F_20121023160316601,ES_S_20121023173759891,Puerta Pareja,Saline Aquifer without hydrocarbon fields,Triassic,Spain
0.0,80.59,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,118,ES_F_20121023160316601,ES_S_20121023174234893,Almazan,Saline Aquifer without hydrocarbon fields,Triassic,Spain
0.0,338.69,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,119,ES_F_20121023211306533,ES_S_20121023211958315,Alto Guadalquivir,Saline Aquifer without hydrocarbon fields,Cretaceous,Spain
0.0,487.2,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,120,ES_F_20121023211306533,ES_S_20121023212240737,Sierra Seca,Saline Aquifer without hydrocarbon fields,Jurassic,Spain
0.0,191.1,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,121,ES_F_20121023211306533,ES_S_20121023213357627,Sierra de Benejama,Saline Aquifer without hydrocarbon fields,Jurassic,Spain
0.0,179.93,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,122,ES_F_20121023211306533,ES_S_20121023214841799,Sierra de Salinas,Saline Aquifer without hydrocarbon fields,Jurassic,Spain
0.0,0.35,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,123,ES_F_20121023211306533,ES_S_20121023220648502,Benejuzar-Rojales,Saline Aquifer without hydrocarbon fields,Cretaceous,Spain
0.0,6.22,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,124,ES_F_20121023211306533,ES_S_20121023221305894,Fuensanta,Saline Aquifer without hydrocarbon fields,Jurassic,Spain
0.0,225.12,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,125,ES_F_20121023211306533,ES_S_20121024095936134,Macaroba,Saline Aquifer without hydrocarbon fields,Jurassic,Spain
0.0,413.48,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,126,ES_F_20121023211306533,ES_S_20121024100418071,Murcia B-1,Saline Aquifer without hydrocarbon fields,Cretaceous,Spain
0.0,13600.0,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,127,FR_F_20121004174201733,FR_S_20121004180123479,Dogger carbonaté SU,Saline Aquifer with hydrocarbon fields,Jurassic,France
0.0,7835.399999999999,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,128,FR_F_20121004185401816,FR_S_20121010172717936,Rhétien-Keuper SU,Saline Aquifer with hydrocarbon fields,Triassic,France
0.0,7664.6,0.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,129,FR_F_20121004185411377,FR_S_20121011180444778,Bundsandstein SU,Saline Aquifer with hydrocarbon fields,Triassic,France
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,130,FR_F_20121004191904670,FR_S_20121031165944671,Aqutaine SU,,,France
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,131,FR_F_20121004192110490,FR_S_20121031170001402,Sud-Est SU,,,France
900.0,1000.0,1100.0,Pore vol and storage eff coefficient,2922.27264,5276.3256,9822.08304,Method 1,6317.556896,1041.231296,0.0,132,GR_F_20121028124324266,GR_S_20121028170316538,Prinos Sand,Saline Aquifer with hydrocarbon fields,Neogene,Greece
600.0,610.0,620.0,Pore vol and storage eff coefficient,431.72928,2698.308,11656.69056,Method 1,2698.308,0.0,0.0,133,GR_F_20121028173422377,GR_S_20121028174100717,Thessaloniki Basin,Saline Aquifer with hydrocarbon fields,Paleogene,Greece
360.0,360.0,360.0,Pore vol and storage eff coefficient,1528.7242950000002,1528.7242950000002,1528.7242950000002,Method 1,1528.7242950000002,0.0,0.0,134,GR_F_20121028174412573,GR_S_20121028174802637,Grevena,Saline Aquifer without hydrocarbon fields,Paleogene,Greece
0.0,2271.038,0.0,Pore vol and storage eff coefficient,0.0,2271.403295856,0.0,Method 1,2271.403295856,0.0,0.0,135,HR_F_20121003170834390,HR_S_20121012112535449,Drava,Saline Aquifer with hydrocarbon fields,Neogene,Croatia
0.0,180.46,0.0,Pore vol and storage eff coefficient,0.0,180.32627405099998,0.0,Method 1,180.32627405099998,0.0,0.0,136,HR_F_20121003170834390,HR_S_20121012152323250,Osijek,Saline Aquifer without hydrocarbon fields,Neogene,Croatia
0.0,321.745,0.0,Pore vol and storage eff coefficient,0.0,318.5270632673582,0.0,Method 1,318.5270632673582,0.0,0.0,137,HR_F_20121003170834390,HR_S_20121022160643340,Sava West,Saline Aquifer with hydrocarbon fields,Neogene,Croatia
0.0,691.78,0.0,Pore vol and storage eff coefficient,0.0,684.2328744605073,0.0,Method 1,684.2328744605073,0.0,0.0,138,HR_F_20121003170834390,HR_S_20121022171230891,Sava Central,Saline Aquifer with hydrocarbon fields,Neogene,Croatia
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,139,HR_F_20121003170834390,HR_S_20121025142038712,Sandrovac,Saline Aquifer with hydrocarbon fields,Neogene,Croatia
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,140,HR_F_20121025191808832,HR_S_20121025192213872,Benicanci,Saline Aquifer with hydrocarbon fields,,Croatia
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,141,HR_F_20121025191808832,HR_S_20121026091109933,Gola Duboka,Saline Aquifer with hydrocarbon fields,,Croatia
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,142,HR_F_20121026093834054,HR_S_20121026094809927,Kalinovac,Saline Aquifer with hydrocarbon fields,Neogene,Croatia
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,143,HR_F_20121026093834054,HR_S_20121026100041113,Molve,Saline Aquifer with hydrocarbon fields,,Croatia
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,144,HR_F_20121026093834054,HR_S_20121026101250442,Stari Gradac,Saline Aquifer with hydrocarbon fields,,Croatia
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,145,HR_F_20121026102548665,HR_S_20121026103102535,Ika,Saline Aquifer with hydrocarbon fields,,Croatia
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,146,HR_F_20121026120739259,HR_S_20121026121005869,Marica,Saline Aquifer with hydrocarbon fields,,Croatia
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,147,HR_F_20121026123711369,HR_S_20121026124005982,Klostar,Saline Aquifer with hydrocarbon fields,,Croatia
0.0,601.652,0.0,Pore vol and storage eff coefficient,0.0,601.6515944309912,0.0,Method 1,601.6515944309912,0.0,0.0,148,HR_F_20121113152945899,HR_S_20121113203817370,Dugi Otok,Saline Aquifer without hydrocarbon fields,Neogene,Croatia
